time_decimal,value
1989.0575342465756,352.68
1989.0602739726028,352.62
1989.06301369863,352.47
1989.0657534246573,352.49
1989.0684931506848,353.47
1989.0712328767124,353.2
1989.0767123287671,353.33
1989.0794520547945,354.31
1989.0821917808216,353.6
1989.0849315068488,353.43
1989.0876712328768,353.02
1989.090410958904,353.13
1989.0931506849315,353.49
1989.0958904109589,352.96
1989.0986301369865,353.03
1989.1013698630136,353.31
1989.1041095890407,352.98
1989.1068493150683,352.94
1989.109589041096,352.6
1989.1123287671232,352.92
1989.1150684931504,353.93
1989.120547945205,353.14
1989.123287671233,353.51
1989.1260273972605,353.32
1989.128767123288,353.47
1989.131506849315,353.51
1989.1342465753423,353.46
1989.13698630137,353.81
1989.145205479452,353.1
1989.1479452054796,354.09
1989.150684931507,354.34
1989.1534246575343,354.34
1989.1561643835616,353.83
1989.158904109589,353.81
1989.1616438356164,354.51
1989.164383561644,353.78
1989.1671232876715,353.88
1989.169863013699,353.21
1989.172602739726,352.64
1989.1753424657531,353.33
1989.1780821917807,353.46
1989.1808219178083,355.24
1989.183561643836,353.71
1989.186301369863,353.57
1989.1890410958904,354.43
1989.1917808219175,353.73
1989.194520547945,353.64
1989.1972602739727,353.92
1989.2,353.4
1989.2027397260276,353.36
1989.208219178082,354.24
1989.2109589041097,353.58
1989.2164383561644,353.66
1989.219178082192,354.52
1989.2219178082191,354.61
1989.2246575342465,354.41
1989.227397260274,354.35
1989.2301369863012,355.26
1989.2328767123288,355.02
1989.235616438356,354.94
1989.2383561643835,354.36
1989.2410958904109,354.48
1989.2438356164384,354.85
1989.2465753424656,355.02
1989.2493150684927,355.02
1989.2520547945203,355.08
1989.254794520548,354.78
1989.2575342465752,354.71
1989.2602739726028,354.94
1989.2630136986304,354.13
1989.2657534246573,355.0
1989.268493150685,355.97
1989.271232876712,355.74
1989.27397260274,355.55
1989.2794520547943,354.9
1989.282191780822,355.01
1989.2849315068493,355.88
1989.2876712328768,356.04
1989.293150684932,355.63
1989.295890410959,355.74
1989.2986301369865,356.44
1989.3013698630136,356.26
1989.304109589041,356.79
1989.3068493150688,356.75
1989.309589041096,356.5
1989.3123287671235,356.11
1989.3150684931504,356.18
1989.317808219178,355.92
1989.3205479452056,356.71
1989.323287671233,356.57
1989.3260273972603,356.8
1989.328767123288,356.21
1989.331506849315,355.75
1989.3342465753424,355.1
1989.33698630137,355.58
1989.339726027397,355.62
1989.342465753425,355.77
1989.345205479452,355.59
1989.3479452054796,354.93
1989.3534246575343,355.26
1989.358904109589,356.18
1989.3616438356164,356.41
1989.364383561644,356.42
1989.3671232876711,356.59
1989.372602739726,356.1
1989.3753424657532,356.01
1989.3780821917808,355.99
1989.380821917808,355.99
1989.386301369863,355.86
1989.3890410958904,355.51
1989.3917808219176,356.16
1989.3945205479447,356.63
1989.3972602739725,356.36
1989.4,355.86
1989.4027397260277,356.36
1989.4054794520548,355.5
1989.4082191780824,356.7
1989.4109589041093,356.26
1989.4136986301369,356.24
1989.4164383561645,356.05
1989.419178082192,356.36
1989.4219178082192,356.05
1989.4246575342463,355.85
1989.4301369863012,355.57
1989.4383561643835,355.08
1989.441095890411,355.55
1989.4438356164385,354.91
1989.4465753424656,355.42
1989.4493150684928,354.98
1989.4520547945208,355.17
1989.454794520548,356.26
1989.4575342465755,356.42
1989.4602739726024,354.73
1989.4630136986304,354.88
1989.4657534246576,354.82
1989.468493150685,355.0
1989.4712328767123,355.36
1989.47397260274,355.29
1989.4767123287672,355.26
1989.4794520547944,355.3
1989.482191780822,355.2
1989.487671232877,355.0
1989.490410958904,355.14
1989.493150684932,355.0
1989.495890410959,354.82
1989.4986301369863,354.36
1989.5013698630137,354.55
1989.5068493150684,354.85
1989.509589041096,354.94
1989.5150684931507,355.16
1989.517808219178,355.3
1989.5205479452052,354.54
1989.5232876712328,355.09
1989.5260273972603,354.83
1989.528767123288,353.92
1989.531506849315,353.79
1989.5342465753424,353.88
1989.5369863013696,353.93
1989.5424657534247,354.03
1989.545205479452,354.11
1989.5479452054797,353.21
1989.5506849315068,353.29
1989.5534246575344,353.18
1989.558904109589,353.15
1989.5616438356165,353.57
1989.564383561644,353.38
1989.5671232876712,353.25
1989.5698630136983,353.3
1989.572602739726,353.34
1989.5753424657532,353.65
1989.580821917808,353.29
1989.5835616438355,353.09
1989.5863013698631,353.35
1989.5890410958905,353.1
1989.5917808219176,353.31
1989.5945205479447,352.38
1989.5972602739728,352.48
1989.6027397260275,352.74
1989.6054794520549,352.58
1989.6082191780824,353.25
1989.613698630137,351.6
1989.6164383561645,352.64
1989.619178082192,352.16
1989.6219178082192,352.19
1989.6246575342464,351.48
1989.6328767123289,350.65
1989.635616438356,351.27
1989.638356164384,351.02
1989.641095890411,351.02
1989.6438356164383,350.26
1989.6465753424657,350.35
1989.6493150684933,350.61
1989.6575342465756,351.27
1989.660273972603,350.29
1989.66301369863,350.7
1989.668493150685,350.95
1989.6712328767123,351.36
1989.67397260274,351.81
1989.676712328767,350.56
1989.6794520547944,350.69
1989.682191780822,351.33
1989.6849315068491,351.72
1989.6876712328767,349.77
1989.690410958904,349.18
1989.6931506849317,349.32
1989.7013698630135,349.4
1989.704109589041,349.93
1989.7068493150684,349.37
1989.709589041096,349.6
1989.7123287671236,349.91
1989.7150684931507,349.77
1989.717808219178,349.7
1989.7205479452052,349.53
1989.7232876712328,349.47
1989.72602739726,349.46
1989.728767123288,349.49
1989.731506849315,349.76
1989.7342465753425,349.74
1989.7397260273967,350.94
1989.7479452054797,350.22
1989.7534246575344,350.63
1989.758904109589,350.61
1989.7671232876712,349.99
1989.7698630136983,350.22
1989.772602739726,349.94
1989.7753424657533,349.95
1989.7780821917809,349.84
1989.780821917808,349.69
1989.783561643836,349.96
1989.786301369863,350.52
1989.7890410958903,350.33
1989.7917808219177,349.97
1989.7945205479448,350.28
1989.7972602739728,350.87
1989.8,350.51
1989.8027397260275,350.39
1989.8082191780825,350.88
1989.813698630137,350.42
1989.8164383561643,350.73
1989.819178082192,351.04
1989.8219178082195,350.81
1989.8246575342464,350.68
1989.827397260274,350.61
1989.830136986301,350.0
1989.8328767123287,350.94
1989.835616438356,350.4
1989.838356164384,350.46
1989.8438356164384,351.36
1989.8465753424657,351.35
1989.849315068493,351.24
1989.8520547945209,351.16
1989.854794520548,351.81
1989.8575342465756,351.3
1989.8602739726027,351.51
1989.8657534246572,351.36
1989.868493150685,351.6
1989.87397260274,351.66
1989.876712328767,351.84
1989.8794520547945,352.08
1989.8821917808216,352.19
1989.8849315068492,351.66
1989.8876712328768,351.45
1989.890410958904,351.54
1989.8931506849317,352.82
1989.8958904109588,351.96
1989.8986301369864,351.71
1989.9013698630135,351.76
1989.904109589041,352.16
1989.9068493150685,351.66
1989.909589041096,351.65
1989.9123287671232,352.07
1989.9150684931508,352.92
1989.917808219178,352.58
1989.9205479452053,352.39
1989.9232876712329,352.52
1989.92602739726,352.55
1989.928767123288,352.16
1989.9342465753425,352.25
1989.9369863013696,352.28
1989.9397260273968,353.24
1989.9424657534248,354.06
1989.945205479452,352.73
1989.9479452054795,352.33
1989.9506849315069,353.86
1989.9534246575345,352.74
1989.9561643835616,352.99
1989.958904109589,353.59
1989.9616438356163,352.85
1989.964383561644,352.54
1989.9671232876717,353.27
1989.9698630136984,353.2
1989.972602739726,352.7
1989.975342465753,352.53
1989.9808219178085,352.71
1989.983561643836,352.62
1989.986301369863,353.13
1989.9890410958903,353.67
1989.9917808219177,353.02
1990.0054794520547,353.65
1990.0082191780823,353.69
1990.0109589041097,353.8
1990.013698630137,353.76
1990.0164383561644,353.31
1990.019178082192,353.45
1990.021917808219,354.48
1990.024657534247,353.83
1990.027397260274,353.11
1990.0328767123287,353.33
1990.035616438356,353.6
1990.0383561643837,353.76
1990.041095890411,354.15
1990.0438356164384,354.08
1990.0465753424655,354.26
1990.049315068493,354.13
1990.0520547945205,353.94
1990.054794520548,354.07
1990.0602739726028,353.74
1990.0684931506848,354.08
1990.0712328767124,353.8
1990.07397260274,353.88
1990.0767123287671,354.08
1990.0794520547945,354.33
1990.0821917808216,354.42
1990.0849315068488,354.75
1990.0876712328768,354.61
1990.090410958904,354.69
1990.0931506849315,354.06
1990.0958904109589,353.91
1990.0986301369865,354.04
1990.1013698630136,356.27
1990.1041095890407,356.1
1990.1068493150683,356.0
1990.109589041096,354.91
1990.1123287671232,354.8
1990.1150684931504,355.61
1990.1178082191784,356.12
1990.120547945205,355.28
1990.123287671233,354.82
1990.1260273972605,354.53
1990.128767123288,354.47
1990.131506849315,355.63
1990.1342465753423,356.09
1990.13698630137,355.49
1990.1397260273973,355.34
1990.1424657534249,355.25
1990.145205479452,355.23
1990.1479452054796,354.94
1990.150684931507,354.38
1990.1534246575343,354.71
1990.1561643835616,354.97
1990.158904109589,355.67
1990.164383561644,355.83
1990.1671232876715,355.5
1990.169863013699,355.68
1990.172602739726,356.13
1990.1753424657531,355.45
1990.1780821917807,355.66
1990.183561643836,355.54
1990.186301369863,355.08
1990.1890410958904,354.96
1990.1917808219175,355.57
1990.194520547945,355.46
1990.1972602739727,355.77
1990.2027397260276,356.47
1990.2054794520548,356.49
1990.208219178082,355.69
1990.2109589041097,356.08
1990.213698630137,355.72
1990.2164383561644,355.3
1990.219178082192,355.18
1990.2219178082191,355.26
1990.227397260274,355.04
1990.2301369863012,355.13
1990.2328767123288,356.71
1990.235616438356,356.35
1990.2383561643835,356.75
1990.2410958904109,357.38
1990.2438356164384,355.56
1990.2465753424656,355.78
1990.2493150684927,356.16
1990.2520547945203,355.81
1990.254794520548,355.79
1990.2575342465752,357.53
1990.2602739726028,356.59
1990.2630136986304,356.23
1990.2657534246573,356.59
1990.268493150685,355.99
1990.27397260274,356.37
1990.2767123287672,355.77
1990.2794520547943,356.15
1990.282191780822,356.16
1990.2849315068493,356.36
1990.2876712328768,356.37
1990.290410958904,355.29
1990.293150684932,356.2
1990.295890410959,355.95
1990.2986301369865,356.68
1990.3013698630136,356.74
1990.304109589041,357.02
1990.3068493150688,357.07
1990.309589041096,356.99
1990.3150684931504,357.76
1990.317808219178,356.44
1990.3205479452056,355.92
1990.323287671233,356.07
1990.3260273972603,356.65
1990.328767123288,357.42
1990.331506849315,356.74
1990.33698630137,357.41
1990.339726027397,357.48
1990.342465753425,358.15
1990.345205479452,357.91
1990.3479452054796,357.78
1990.3506849315067,357.49
1990.3561643835617,357.29
1990.358904109589,357.61
1990.3616438356164,357.46
1990.364383561644,357.41
1990.3671232876711,357.11
1990.3698630136987,357.24
1990.372602739726,357.08
1990.3753424657532,357.1
1990.3780821917808,357.37
1990.380821917808,357.37
1990.383561643836,357.33
1990.386301369863,357.07
1990.3890410958904,357.38
1990.3917808219176,357.31
1990.3972602739725,357.51
1990.4,357.38
1990.4027397260277,357.31
1990.4054794520548,357.31
1990.4082191780824,357.5
1990.4109589041093,357.0
1990.4136986301369,357.64
1990.4164383561645,357.55
1990.419178082192,357.36
1990.4219178082192,357.49
1990.4246575342463,356.96
1990.427397260274,357.0
1990.4301369863012,356.49
1990.4328767123288,356.88
1990.435616438356,356.71
1990.4383561643835,356.54
1990.441095890411,356.91
1990.4438356164385,356.89
1990.4465753424656,355.45
1990.4493150684928,355.55
1990.4520547945208,356.1
1990.454794520548,356.32
1990.4575342465755,356.33
1990.4602739726024,356.46
1990.4630136986304,356.7
1990.4657534246576,356.15
1990.468493150685,355.69
1990.4712328767123,355.98
1990.47397260274,355.93
1990.4767123287672,355.76
1990.4794520547944,355.59
1990.482191780822,355.81
1990.487671232877,355.9
1990.490410958904,355.78
1990.493150684932,355.92
1990.495890410959,356.85
1990.4986301369863,356.18
1990.5013698630137,356.35
1990.504109589041,356.07
1990.5068493150684,356.42
1990.509589041096,356.31
1990.5123287671236,355.34
1990.5150684931507,355.4
1990.517808219178,355.48
1990.5205479452052,355.56
1990.5232876712328,355.54
1990.5260273972603,355.19
1990.528767123288,354.43
1990.531506849315,353.34
1990.5342465753424,354.31
1990.5369863013696,353.97
1990.5397260273971,354.19
1990.5424657534247,354.61
1990.545205479452,354.46
1990.5479452054797,354.11
1990.5506849315068,354.37
1990.5534246575344,354.92
1990.558904109589,351.11
1990.5616438356165,355.13
1990.564383561644,355.28
1990.5671232876712,354.9
1990.5698630136983,354.86
1990.572602739726,354.77
1990.5753424657532,353.48
1990.5780821917808,354.14
1990.5835616438355,354.11
1990.5863013698631,353.74
1990.5890410958905,353.7
1990.5945205479447,352.71
1990.5972602739728,354.03
1990.6,354.3
1990.6082191780824,351.63
1990.613698630137,353.09
1990.6164383561645,353.6
1990.619178082192,353.39
1990.6219178082192,353.48
1990.6246575342464,353.75
1990.627397260274,353.48
1990.6301369863013,353.6
1990.6328767123289,352.81
1990.638356164384,353.23
1990.6465753424657,352.66
1990.6493150684933,352.7
1990.6520547945208,351.82
1990.654794520548,351.78
1990.6575342465756,351.73
1990.66301369863,351.43
1990.6657534246576,351.33
1990.668493150685,351.14
1990.6712328767123,351.37
1990.67397260274,351.11
1990.676712328767,351.05
1990.6794520547944,350.49
1990.682191780822,351.53
1990.6849315068491,351.4
1990.690410958904,348.52
1990.695890410959,351.53
1990.7013698630135,351.69
1990.704109589041,351.7
1990.7068493150684,351.85
1990.709589041096,351.83
1990.7123287671236,351.65
1990.7150684931507,351.67
1990.717808219178,351.27
1990.7205479452052,352.17
1990.7232876712328,351.82
1990.72602739726,351.21
1990.728767123288,351.86
1990.731506849315,351.29
1990.7342465753425,351.48
1990.7369863013696,351.99
1990.7397260273967,351.18
1990.7424657534248,351.22
1990.745205479452,351.45
1990.7479452054797,351.27
1990.7534246575344,351.71
1990.7561643835616,351.29
1990.758904109589,351.39
1990.7616438356165,351.29
1990.764383561644,351.34
1990.7671232876712,351.95
1990.7698630136983,351.71
1990.772602739726,351.58
1990.7753424657533,351.6
1990.7780821917809,351.38
1990.780821917808,351.25
1990.783561643836,351.51
1990.786301369863,351.42
1990.7890410958903,351.43
1990.7945205479448,351.49
1990.8,351.99
1990.8027397260275,351.76
1990.805479452055,351.31
1990.8082191780825,351.87
1990.8109589041096,351.88
1990.813698630137,351.81
1990.8164383561643,351.69
1990.819178082192,351.76
1990.8219178082195,352.71
1990.8246575342464,352.94
1990.827397260274,352.36
1990.830136986301,351.95
1990.835616438356,352.25
1990.838356164384,352.17
1990.841095890411,352.44
1990.8438356164384,352.35
1990.8465753424657,352.77
1990.849315068493,353.15
1990.8520547945209,352.8
1990.854794520548,352.63
1990.8575342465756,352.84
1990.8602739726027,352.65
1990.86301369863,353.03
1990.8657534246572,353.13
1990.868493150685,353.49
1990.8712328767124,353.39
1990.87397260274,353.18
1990.8821917808216,353.33
1990.8849315068492,353.49
1990.890410958904,353.3
1990.8931506849317,353.4
1990.8958904109588,353.74
1990.8986301369864,353.86
1990.9013698630135,353.5
1990.904109589041,353.57
1990.9068493150685,353.7
1990.9150684931508,353.8
1990.917808219178,353.8
1990.9205479452053,354.21
1990.9232876712329,354.02
1990.92602739726,353.79
1990.928767123288,354.03
1990.9315068493152,353.77
1990.9342465753425,353.71
1990.9424657534248,354.2
1990.945205479452,353.96
1990.9479452054795,355.91
1990.9534246575345,353.81
1990.9561643835616,353.74
1990.958904109589,354.38
1990.9616438356163,354.12
1990.964383561644,354.25
1990.9671232876717,354.66
1990.9698630136984,354.78
1990.972602739726,354.46
1990.975342465753,354.43
1990.978082191781,354.32
1990.9808219178085,354.87
1990.983561643836,354.73
